,Temperatura_archa [°C],O2 [%],Humedad [%],Numero_envases [uds],Tiempo_carga [min]
119,649,21,35,100,20
120,562,22,48,100,22
121,577,23,42,100,25
122,637,22,34,100,24
123,556,20,49,100,26
124,576,18,40,100,29
125,582,23,38,100,22
126,556,21,34,100,25
127,559,23,30,100,27
128,645,18,33,100,25
129,619,18,30,100,20
130,570,18,45,100,20
131,628,19,37,100,24
132,626,19,42,100,23
133,599,22,34,100,22
134,603,22,41,100,20
135,579,19,36,100,23
136,584,23,49,100,21
137,554,20,49,100,24
138,637,21,47,100,24
139,604,18,37,100,21
140,646,22,48,100,23
141,579,19,31,100,20
142,589,20,45,100,22
143,573,23,46,100,25
144,570,18,31,100,24
145,578,22,32,100,21
146,578,21,32,100,29
147,578,22,48,100,23
148,642,23,34,100,29
149,578,22,36,100,20
150,601,20,30,100,22
151,588,19,36,100,26
152,591,20,38,100,22
153,585,20,49,100,26
154,607,22,33,100,27
155,563,19,36,100,22
156,643,22,41,100,29
157,557,23,45,100,20
158,585,19,47,100,23
159,642,20,38,100,23
160,646,18,41,100,25
161,553,18,43,100,28
162,610,21,33,100,28
163,583,18,48,100,25
164,588,19,43,100,25
165,567,20,30,100,21
166,639,23,48,100,23
167,631,23,46,100,26
168,643,23,49,100,20
169,645,21,31,100,25
170,632,18,46,100,26
171,551,23,46,100,22
172,584,22,34,100,21
173,626,19,40,100,26
174,592,22,33,100,29
175,574,23,32,100,23
176,559,21,30,100,26
177,588,21,49,100,28
178,594,21,30,100,29
179,557,23,40,100,25
180,578,21,32,100,22
181,625,22,34,100,25
182,584,18,44,100,27
183,610,22,32,100,22
184,567,18,41,100,23
185,552,18,47,100,28
186,638,21,31,100,22
187,603,18,30,100,27
188,552,22,42,100,26
189,565,19,33,100,27
190,606,19,44,100,27
191,620,23,34,100,28
192,571,21,42,100,21
193,553,20,47,100,22
194,618,23,43,100,23
195,624,21,33,100,23
196,630,22,48,100,21
197,579,20,45,100,25
198,573,18,43,100,25
199,592,20,35,100,27
200,560,19,49,100,23
201,635,22,44,100,24
202,600,19,48,100,20
203,620,20,34,100,23
204,553,20,35,100,20
205,557,20,36,100,25
206,620,22,32,100,27
207,551,19,49,100,26
208,561,22,45,100,21
209,649,21,31,100,29
210,640,19,40,100,27
211,564,22,44,100,27
212,621,18,40,100,26
213,620,20,34,100,26
214,564,20,45,100,21
215,581,19,40,100,26
216,606,21,37,100,23
217,573,20,32,100,23
218,632,18,30,100,27
219,622,23,34,100,29
220,578,18,34,100,28
221,633,20,44,100,23
222,550,22,32,100,28
223,641,18,49,100,23
224,612,23,30,100,23
225,633,18,35,100,25
226,625,19,30,100,23
227,564,18,41,100,23
228,560,21,38,100,26
229,577,19,41,100,26
230,620,19,41,100,28
231,632,19,46,100,20
232,611,22,36,100,26
233,598,18,48,100,23
234,556,23,43,100,24
235,563,18,30,100,27
236,556,20,35,100,28
237,573,19,49,100,28
238,612,23,37,100,24
239,596,23,31,100,22
240,558,19,32,100,21
241,627,23,45,100,27
242,639,22,32,100,23
243,614,23,37,100,23
244,572,23,39,100,23
245,643,19,31,100,28
246,605,19,48,100,29
247,620,18,32,100,29
248,552,22,35,100,29
249,570,23,44,100,25
250,587,21,36,100,26
251,643,18,49,100,27
252,591,19,31,100,27
253,561,18,40,100,24
254,581,21,38,100,20
255,575,18,49,100,20
256,558,21,46,100,23
257,619,20,34,100,27
258,592,23,34,100,25
259,601,23,33,100,29
260,609,20,40,100,26
261,567,19,45,100,28
262,563,19,41,100,21
263,645,18,44,100,24
264,636,22,49,100,22
265,600,23,33,100,26
266,630,19,32,100,26
267,636,23,39,100,20
268,622,21,34,100,28
269,613,18,32,100,25
270,634,22,30,100,22
271,623,23,39,100,25
272,577,22,34,100,23
273,613,19,47,100,24
274,612,22,47,100,23
275,569,20,37,100,23
276,559,19,30,100,21
277,561,21,39,100,27
278,593,19,31,100,22
279,573,20,40,100,26
280,572,20,35,100,22
281,573,23,30,100,28
282,619,21,35,100,24
283,574,19,37,100,25
284,579,21,37,100,24
285,642,22,37,100,29
286,619,18,38,100,24
287,592,23,37,100,24
288,573,19,40,100,23
289,555,19,32,100,27
290,615,19,37,100,21
291,622,22,35,100,21
292,644,21,31,100,20
293,588,21,37,100,22
294,637,20,43,100,22
295,571,22,39,100,25
296,591,18,49,100,21
297,646,22,38,100,20
298,624,21,34,100,24
299,644,19,31,100,24
300,566,18,46,100,26
301,598,21,36,100,20
302,627,23,41,100,21
303,584,22,43,100,26
304,634,21,37,100,24
305,615,23,48,100,29
306,570,20,49,100,23
307,588,21,49,100,21
308,609,21,32,100,21
309,553,22,38,100,23
310,587,23,39,100,25
311,558,23,37,100,29
312,638,23,42,100,20
313,569,22,41,100,28
314,584,19,42,100,22
315,574,20,44,100,25
316,562,22,43,100,28
317,585,23,49,100,26
318,640,23,36,100,29
319,645,23,39,100,23
320,614,22,37,100,22
321,625,19,30,100,25
322,645,23,36,100,26
323,583,20,48,100,28
324,580,21,32,100,28
325,563,22,33,100,25
326,631,21,33,100,29
327,584,18,39,100,20
328,634,21,41,100,26
329,581,23,41,100,27
330,566,20,36,100,28
331,590,21,37,100,27
332,554,23,37,100,20
333,581,19,44,100,28
334,570,18,45,100,28
335,620,18,34,100,27
336,580,22,40,100,26
337,567,18,49,100,23
338,607,23,33,100,21
339,598,18,43,100,20
340,643,18,47,100,25
341,581,19,37,100,21
342,589,23,31,100,27
343,583,23,36,100,28
344,625,23,31,100,28
345,621,18,32,100,22
346,592,19,33,100,20
347,627,21,47,100,24
348,573,19,35,100,29
349,569,20,42,100,27
350,637,18,41,100,28
351,599,20,48,100,29
352,601,21,46,100,27
353,646,20,49,100,27
354,578,23,33,100,29
355,631,22,45,100,27
356,622,22,48,100,27
357,646,21,33,100,21
358,581,22,44,100,22
359,618,23,35,100,21
360,595,23,49,100,21
361,555,20,45,100,20
362,598,23,37,100,24
363,615,21,31,100,29
364,574,21,37,100,23
365,556,23,32,100,28
366,612,18,47,100,22
367,575,23,45,100,22
368,570,22,42,100,27
369,643,21,36,100,25
370,595,22,46,100,26
371,627,20,49,100,29
372,613,20,31,100,22
373,563,20,31,100,21
374,611,23,38,100,25
375,618,23,39,100,20
376,625,18,41,100,26
377,614,22,48,100,25
378,590,18,37,100,26
379,615,22,36,100,20
380,596,22,46,100,29
381,555,21,44,100,29
382,636,19,33,100,26
383,558,20,36,100,27
384,639,18,42,100,22
385,623,19,41,100,27
386,579,22,32,100,28
387,624,22,35,100,24
388,556,22,30,100,20
389,599,18,31,100,22
390,556,19,30,100,25
391,636,22,43,100,21
392,606,19,32,100,20
393,612,23,32,100,21
394,601,18,46,100,21
395,581,23,31,100,26
396,637,22,42,100,28
397,624,19,47,100,24
398,612,20,30,100,21
399,553,23,39,100,25
400,643,18,34,100,20
401,558,22,30,100,28
402,603,21,38,100,26
403,570,20,34,100,22
404,634,21,37,100,20
405,628,21,31,100,22
406,588,21,40,100,28
407,587,19,41,100,29
408,625,20,46,100,21
409,554,22,42,100,29
410,551,19,45,100,20
411,611,20,44,100,23
412,586,20,45,100,29
413,632,21,47,100,29
414,572,18,39,100,29
415,567,22,41,100,22
416,567,20,34,100,22
417,590,21,34,100,25
418,617,18,45,100,23
419,614,22,41,100,28
420,601,19,40,100,29
421,628,19,45,100,23
422,631,23,45,100,23
423,567,23,35,100,20
424,609,18,34,100,22
425,638,22,33,100,29
426,647,21,34,100,26
427,604,23,38,100,29
428,563,18,44,100,20
429,570,21,32,100,26
430,623,18,35,100,26
431,592,18,32,100,28
432,584,23,49,100,28
433,627,20,44,100,21
434,570,22,46,100,29
435,566,19,42,100,29
436,594,21,40,100,29
437,617,20,48,100,25
438,587,18,45,100,21
439,585,21,44,100,28
440,556,20,34,100,26
441,641,21,44,100,24
442,595,21,35,100,20
443,586,21,40,100,27
444,582,22,46,100,21
445,634,19,49,100,27
446,572,22,42,100,20
447,579,21,42,100,26
448,570,20,45,100,24
449,593,20,44,100,24
450,573,22,35,100,27
451,647,18,30,100,26
452,564,22,37,100,25
453,566,20,36,100,26
454,590,20,33,100,28
455,616,23,40,100,22
456,611,19,41,100,23
457,600,18,34,100,20
458,635,18,44,100,26
459,621,20,33,100,23
460,608,18,39,100,24
461,593,23,42,100,27
462,586,18,41,100,29
463,590,19,48,100,24
464,642,19,32,100,25
465,642,23,37,100,23
466,605,19,37,100,20
467,627,18,36,100,24
468,575,19,39,100,20
469,600,18,42,100,23
470,591,22,34,100,24
471,636,23,45,100,22
472,570,21,49,100,20
473,593,19,37,100,23
474,648,19,32,100,23
475,605,18,32,100,26
476,610,21,45,100,21
477,630,18,42,100,20
478,621,19,39,100,21
479,596,23,48,100,27
480,623,21,33,100,26
481,643,20,34,100,27
482,570,20,32,100,25
483,592,22,32,100,22
484,590,22,38,100,24
485,603,20,39,100,22
486,566,21,43,100,28
487,572,18,47,100,29
488,617,22,35,100,27
489,587,20,48,100,21
490,564,18,41,100,21
491,552,19,39,100,24
492,647,19,36,100,22
493,573,18,31,100,29
494,610,22,42,100,28
495,578,23,34,100,29
496,568,23,41,100,27
497,564,23,37,100,25
498,613,20,30,100,22
499,562,19,46,100,25
500,562,19,30,100,23
501,644,18,40,100,29
502,616,21,41,100,23
503,588,22,43,100,25
504,645,18,33,100,28
505,567,20,32,100,26
506,649,23,35,100,26
507,647,21,39,100,22
508,575,18,30,100,25
509,616,19,34,100,24
510,598,23,31,100,25
511,595,22,46,100,28
512,602,23,43,100,21
513,621,21,44,100,24
514,610,21,36,100,29
515,606,23,48,100,20
516,618,21,46,100,22
517,556,22,39,100,25
518,577,20,44,100,25
519,581,23,37,100,22
520,644,22,43,100,24
521,647,19,38,100,28
522,589,18,43,100,22
523,574,20,38,100,25
524,626,18,44,100,20
525,608,19,49,100,24
526,638,21,45,100,28
527,607,21,48,100,26
528,560,22,48,100,25
529,558,22,49,100,24
530,581,18,32,100,24
531,612,23,49,100,25
532,609,22,46,100,27
533,619,18,30,100,25
534,595,18,33,100,26
535,571,18,45,100,22
536,598,19,38,100,20
537,574,20,45,100,25
538,571,23,34,100,29
539,644,20,46,100,24
540,605,23,33,100,29
541,635,20,46,100,24
542,619,23,36,100,23
543,623,18,31,100,21
544,555,20,47,100,23
545,583,23,44,100,26
546,634,19,39,100,22
547,590,18,30,100,21
548,591,21,36,100,22
549,622,21,44,100,29
550,600,20,33,100,24
551,623,23,35,100,29
552,577,21,33,100,26
553,646,21,39,100,23
554,595,23,44,100,20
555,552,21,46,100,25
556,649,23,33,100,23
557,621,20,37,100,28
558,615,22,40,100,26
559,579,18,32,100,29
560,585,23,34,100,22
561,633,18,43,100,26
562,638,19,43,100,22
563,564,21,37,100,26
564,583,19,36,100,20
565,567,21,47,100,22
566,591,19,43,100,25
567,626,18,49,100,24
568,636,22,47,100,20
569,572,19,38,100,28
570,582,23,44,100,21
571,583,18,43,100,27
572,576,19,48,100,29
573,629,21,30,100,21
574,648,18,43,100,29
575,629,23,36,100,20
576,634,19,34,100,21
577,582,20,37,100,27
578,612,22,38,100,29
579,554,21,44,100,20
580,599,23,36,100,23
581,565,19,43,100,23
582,596,22,35,100,22
583,613,18,39,100,26
584,571,22,47,100,26
585,563,22,34,100,27
586,623,19,42,100,21
587,560,19,42,100,29
588,594,18,35,100,23
589,626,22,30,100,29
590,618,23,42,100,24
591,586,22,46,100,21
592,624,20,35,100,27
593,619,22,45,100,29
594,552,18,48,100,23
595,600,23,43,100,25
596,644,23,45,100,24
597,631,18,47,100,29
598,631,20,40,100,28
599,632,21,40,100,26
600,608,22,46,100,28
601,613,18,36,100,22
602,562,22,41,100,29
603,638,22,49,100,23
604,641,20,43,100,27
605,564,21,48,100,28
606,632,20,45,100,23
607,626,21,41,100,24
608,561,21,30,100,25
609,559,18,42,100,26
610,564,23,30,100,27
611,641,20,43,100,22
612,630,23,34,100,21
613,645,20,35,100,27
614,567,18,41,100,23
615,642,23,34,100,23
616,554,19,42,100,22
617,621,18,30,100,22
618,584,23,32,100,22
619,625,20,31,100,23
620,596,22,40,100,23
621,550,22,30,100,26
622,564,21,43,100,25
623,624,20,32,100,23
624,561,20,48,100,26
625,573,18,39,100,22
626,637,21,43,100,22
627,560,18,38,100,29
628,582,20,48,100,25
629,571,19,43,100,27
630,635,18,35,100,22
631,648,21,35,100,29
632,576,21,44,100,23
633,597,23,47,100,21
634,606,21,33,100,25
635,604,21,35,100,27
636,563,22,31,100,29
637,556,19,32,100,23
638,599,18,45,100,29
639,558,20,45,100,24
640,624,20,30,100,29
641,612,18,30,100,28
642,648,19,30,100,27
643,598,18,31,100,24
644,589,23,38,100,28
645,622,21,31,100,23
646,591,18,33,100,29
647,584,23,31,100,20
648,554,20,40,100,25
649,550,23,35,100,21
650,601,21,30,100,24
651,642,23,31,100,22
652,560,21,45,100,27
653,635,19,48,100,25
654,638,20,44,100,20
655,617,23,49,100,25
656,583,20,31,100,21
657,600,23,41,100,29
658,608,23,49,100,27
659,640,22,36,100,21
660,564,19,32,100,27
661,569,22,30,100,20
662,615,19,44,100,24
663,645,23,34,100,20
664,561,21,44,100,25
665,582,20,32,100,29
666,580,18,33,100,26
667,608,23,48,100,22
668,574,20,49,100,25
669,574,21,44,100,24
670,569,20,45,100,28
671,649,19,41,100,29
672,576,21,42,100,22
673,559,23,43,100,25
674,632,18,49,100,24
675,580,22,48,100,29
676,556,21,43,100,20
677,623,21,44,100,21
678,576,23,42,100,29
679,550,18,49,100,29
680,612,21,43,100,28
681,628,18,41,100,24
682,569,21,49,100,28
683,578,20,44,100,22
684,640,20,39,100,26
685,647,19,45,100,29
686,599,22,37,100,20
687,644,20,46,100,24
688,623,21,37,100,24
689,600,23,35,100,26
690,641,18,34,100,26
691,580,22,36,100,28
692,613,22,43,100,26
693,574,22,46,100,23
694,620,21,44,100,26
695,594,19,38,100,22
696,585,18,42,100,26
697,629,21,35,100,20
698,627,21,39,100,22
699,615,18,48,100,29
700,642,22,33,100,22
701,593,20,37,100,29
702,569,22,46,100,28
703,552,19,39,100,29
704,561,21,37,100,24
705,581,19,34,100,29
706,562,20,47,100,22
707,590,19,35,100,29
708,624,19,43,100,20
709,609,23,33,100,20
710,631,23,45,100,22
711,634,22,47,100,27
712,601,22,42,100,25
713,561,19,35,100,27
714,617,20,46,100,27
715,586,19,46,100,20
716,621,18,30,100,25
717,569,18,37,100,20
718,569,19,31,100,25
719,587,23,33,100,25
720,603,19,36,100,28
721,577,23,33,100,28
722,604,19,32,100,27
723,594,23,37,100,24
724,588,18,39,100,29
725,610,21,41,100,25
726,591,20,31,100,22
727,622,22,49,100,29
728,585,20,46,100,25
729,571,19,47,100,21
730,565,22,38,100,28
731,595,23,32,100,28
732,584,20,31,100,23
733,588,18,43,100,21
734,588,23,37,100,27
735,622,18,30,100,21
736,608,20,42,100,29
737,643,23,38,100,24
738,601,22,32,100,21
739,647,19,42,100,24
740,631,21,42,100,24
741,641,19,32,100,24
742,621,21,36,100,29
743,618,20,39,100,28
744,572,23,45,100,22
745,603,23,41,100,29
746,642,23,37,100,23
747,551,23,39,100,27
748,557,21,38,100,27
749,638,20,41,100,28
750,572,21,48,100,26
751,612,19,49,100,20
752,554,23,44,100,22
753,579,22,38,100,23
754,585,22,39,100,22
755,608,18,48,100,22
756,551,23,33,100,26
757,583,18,40,100,24
758,648,21,34,100,25
759,618,20,36,100,23
760,646,23,47,100,26
761,641,21,30,100,24
762,593,19,48,100,29
763,628,21,34,100,24
764,615,21,49,100,24
765,593,19,32,100,22
766,560,19,30,100,23
767,551,20,35,100,21
768,565,19,46,100,21
769,554,19,32,100,25
770,643,21,31,100,27
771,585,19,32,100,28
772,566,21,47,100,28
773,618,21,41,100,22
774,632,19,38,100,26
775,575,22,46,100,22
776,574,22,46,100,22
777,574,19,45,100,25
778,584,19,38,100,23
779,556,21,37,100,26
780,625,21,38,100,26
781,642,19,34,100,26
782,641,20,42,100,20
783,554,21,41,100,21
784,564,23,35,100,25
785,645,18,35,100,26
786,564,22,43,100,27
787,585,22,46,100,22
788,563,21,47,100,22
789,586,20,43,100,27
790,552,21,42,100,24
791,584,19,41,100,25
792,615,19,43,100,28
793,588,22,41,100,28
794,629,23,49,100,26
795,603,20,41,100,27
796,550,19,30,100,21
797,610,21,37,100,28
798,556,23,43,100,29
799,569,19,32,100,26
800,604,20,48,100,20
801,584,23,45,100,27
802,598,23,45,100,29
803,555,20,48,100,21
804,624,18,49,100,25
805,627,18,46,100,25
806,589,22,39,100,20
807,585,20,44,100,21
808,649,19,34,100,29
809,557,23,46,100,23
810,623,22,32,100,23
811,567,20,36,100,24
812,598,22,44,100,25
813,606,20,35,100,24
814,576,22,33,100,25
815,649,21,30,100,21
816,565,20,47,100,29
817,645,21,38,100,26
818,566,18,36,100,29
819,555,21,33,100,20
820,627,19,33,100,24
821,567,22,39,100,20
822,579,23,46,100,29
823,641,19,40,100,22
824,617,20,38,100,22
825,630,20,35,100,24
826,596,20,40,100,22
827,642,22,38,100,27
828,582,22,47,100,24
829,614,19,47,100,26
830,591,21,32,100,29
831,621,22,36,100,29
832,563,22,39,100,26
833,602,21,38,100,20
834,596,19,34,100,29
835,572,18,30,100,23
836,581,20,46,100,26
837,612,19,30,100,21
838,607,21,38,100,27
839,601,20,49,100,26
840,638,18,44,100,25
841,629,18,41,100,23
842,590,20,40,100,23
843,557,19,31,100,21
844,565,19,45,100,25
845,559,21,37,100,29
846,551,21,34,100,25
847,634,22,32,100,24
848,642,20,49,100,29
849,621,21,46,100,26
850,605,18,34,100,20
851,579,22,47,100,26
852,582,19,49,100,29
853,647,22,38,100,24
854,647,20,44,100,29
855,564,18,45,100,21
856,608,19,46,100,25
857,593,23,32,100,29
858,588,20,49,100,27
859,634,23,34,100,21
860,581,21,46,100,20
861,550,18,42,100,25
862,643,19,44,100,26
863,582,19,35,100,25
864,550,23,38,100,23
865,611,18,36,100,27
866,551,21,46,100,25
867,551,21,49,100,29
868,571,20,37,100,28
869,552,21,37,100,21
870,567,20,40,100,24
871,567,19,44,100,28
872,554,22,39,100,27
873,618,19,36,100,20
874,623,22,36,100,27
875,555,18,31,100,21
876,628,19,46,100,25
877,585,19,46,100,28
878,568,18,40,100,27
879,633,23,31,100,29
880,555,18,48,100,22
881,647,18,36,100,25
882,582,23,39,100,25
883,642,22,38,100,20
884,601,20,35,100,27
885,574,20,39,100,26
886,630,21,47,100,26
887,634,23,49,100,23
888,560,18,49,100,21
889,628,19,40,100,26
890,637,21,47,100,24
891,570,20,47,100,20
892,564,18,38,100,23
893,576,20,31,100,21
894,558,22,42,100,20
895,589,20,46,100,27
896,616,23,44,100,21
897,611,18,44,100,20
898,599,20,43,100,29
899,608,23,31,100,20
900,610,22,35,100,23
901,607,22,48,100,23
902,626,23,38,100,28
903,567,21,44,100,20
904,624,21,34,100,23
905,553,18,41,100,20
906,584,22,38,100,23
907,565,21,42,100,29
908,560,19,40,100,25
909,631,21,32,100,22
910,614,21,34,100,21
911,595,22,49,100,26
912,572,18,42,100,27
913,561,18,41,100,25
914,621,18,41,100,24
915,591,19,32,100,28
916,634,20,31,100,22
917,648,22,47,100,21
918,598,20,35,100,20
919,612,19,41,100,25
920,595,21,40,100,24
921,600,22,47,100,22
922,594,19,33,100,24
923,644,20,40,100,26
924,646,18,32,100,21
925,569,21,30,100,27
926,552,19,39,100,20
927,568,20,46,100,28
928,586,18,47,100,20
929,605,21,35,100,21
930,612,20,47,100,20
931,567,23,37,100,26
932,636,22,41,100,26
933,551,18,31,100,22
934,600,21,35,100,25
935,615,19,47,100,28
936,573,20,41,100,25
937,600,22,30,100,21
938,581,23,33,100,27
939,576,21,31,100,26
940,639,23,46,100,23
941,585,22,34,100,25
942,627,18,41,100,28
943,570,23,42,100,26
944,584,23,30,100,22
945,581,19,49,100,22
946,596,21,40,100,21
947,615,18,39,100,29
948,581,23,43,100,20
949,604,21,36,100,27
950,623,18,44,100,25
951,618,20,45,100,24
952,631,21,39,100,21
953,568,20,46,100,22
954,609,21,44,100,29
955,583,19,39,100,26
956,617,22,46,100,26
957,557,18,38,100,24
958,625,22,34,100,25
959,622,18,30,100,24
960,595,23,45,100,23
961,581,20,31,100,28
962,627,19,48,100,23
963,647,23,40,100,22
964,610,23,32,100,24
965,567,18,38,100,28
966,643,21,43,100,20
967,577,18,37,100,26
968,636,23,33,100,23
969,601,19,37,100,27
970,636,23,33,100,24
971,582,20,36,100,22
972,601,20,40,100,20
973,557,23,42,100,22
974,592,22,35,100,25
975,553,18,42,100,21
976,600,21,43,100,27
977,646,18,36,100,24
978,610,18,34,100,29
979,633,18,47,100,20
980,574,18,33,100,21
981,564,20,49,100,26
982,646,18,44,100,29
983,583,22,30,100,25
984,564,20,34,100,29
985,598,20,47,100,26
986,562,23,41,100,29
987,563,18,46,100,27
988,574,20,45,100,28
989,625,19,45,100,29
990,602,23,34,100,24
991,625,23,33,100,26
992,555,19,39,100,20
993,637,20,41,100,29
994,625,23,49,100,22
995,594,23,41,100,21
996,630,22,41,100,23
997,591,18,48,100,27
998,649,20,30,100,23
999,576,19,42,100,29
1000,582,21,41,100,23
1001,552,22,36,100,20
1002,562,23,32,100,25
1003,594,18,49,100,27
1004,634,22,34,100,26
1005,634,19,32,100,26
1006,587,22,42,100,29
1007,576,22,31,100,22
1008,636,19,43,100,28
1009,560,19,30,100,24
1010,568,21,40,100,21
1011,608,19,45,100,28
1012,618,19,45,100,29
1013,559,19,43,100,22
1014,595,21,34,100,20
1015,554,19,47,100,25
1016,552,22,45,100,26
1017,611,21,34,100,25
1018,603,19,38,100,22
1019,592,22,47,100,22
1020,623,20,39,100,20
1021,613,18,34,100,25
1022,598,19,47,100,23
1023,562,23,32,100,28
1024,594,23,36,100,25
1025,569,19,35,100,27
1026,592,23,44,100,29
1027,641,19,38,100,21
1028,637,22,48,100,20
1029,563,21,36,100,29
1030,556,20,45,100,26
1031,635,23,39,100,28
1032,583,22,47,100,23
1033,623,21,42,100,24
1034,568,23,36,100,26
1035,629,23,49,100,26
1036,595,20,36,100,29
1037,552,22,32,100,27
1038,580,19,49,100,23
1039,580,22,45,100,27
1040,612,23,32,100,24
1041,649,18,38,100,28
1042,552,20,49,100,22
1043,583,19,48,100,23
1044,623,18,42,100,20
1045,576,21,33,100,24
1046,551,23,48,100,29
1047,592,21,38,100,28
1048,562,18,30,100,29
1049,560,20,37,100,24
1050,550,18,38,100,27
1051,567,22,44,100,28
1052,601,22,36,100,24
1053,594,23,30,100,20
1054,606,19,49,100,28
1055,585,21,35,100,25
1056,569,23,34,100,22
1057,556,19,32,100,29
1058,551,22,35,100,20
1059,632,21,32,100,29
1060,600,21,48,100,23
1061,614,22,40,100,21
1062,570,23,39,100,25
1063,632,21,33,100,27
1064,564,18,46,100,28
1065,629,19,45,100,28
1066,639,21,44,100,27
1067,646,21,30,100,27
1068,600,20,43,100,20
1069,554,21,41,100,26
1070,621,21,45,100,21
1071,619,21,40,100,23
1072,582,18,32,100,24
1073,617,22,33,100,20
1074,639,22,34,100,21
1075,628,22,31,100,22
1076,618,21,34,100,20
1077,642,21,30,100,27
1078,639,20,39,100,20
1079,568,19,47,100,27
1080,560,19,31,100,26
1081,635,19,43,100,28
1082,579,20,38,100,27
1083,552,19,38,100,21
1084,634,19,35,100,24
1085,614,19,31,100,20
1086,603,23,41,100,22
1087,605,20,45,100,21
1088,607,20,30,100,22
1089,596,20,37,100,26
1090,565,22,30,100,27
1091,634,19,34,100,26
1092,554,19,39,100,23
1093,641,23,46,100,29
1094,561,19,35,100,23
1095,603,18,49,100,25
1096,592,21,35,100,21
1097,555,20,45,100,24
1098,624,22,31,100,27
1099,562,20,38,100,27
1100,598,20,48,100,25
1101,593,20,49,100,27
1102,580,22,45,100,20
1103,560,20,38,100,23
1104,553,20,49,100,22
1105,612,20,41,100,20
1106,576,20,35,100,21
1107,632,20,30,100,27
1108,631,18,48,100,27
1109,631,18,35,100,26
1110,585,23,49,100,26
1111,550,20,36,100,27
1112,567,21,47,100,27
1113,617,23,37,100,28
1114,607,22,41,100,21
1115,596,21,30,100,29
1116,615,19,39,100,23
1117,632,22,38,100,28
1118,578,20,45,100,28
1119,577,18,33,100,29
1120,587,23,40,100,23
1121,621,18,40,100,20
1122,553,21,37,100,23
1123,589,20,34,100,26
1124,555,23,32,100,21
1125,633,19,45,100,20
1126,577,21,48,100,25
1127,591,18,43,100,28
1128,562,22,46,100,29
1129,580,19,34,100,27
1130,565,19,31,100,25
1131,623,19,36,100,20
1132,603,20,31,100,27
1133,593,22,35,100,21
1134,616,20,48,100,20
1135,617,22,42,100,26
1136,633,19,33,100,20
1137,649,21,47,100,26
1138,565,22,42,100,22
1139,593,18,32,100,23
1140,557,21,39,100,25
1141,555,21,44,100,22
1142,570,19,39,100,23
1143,618,18,33,100,27
1144,596,23,42,100,21
1145,647,19,35,100,20
