,Temperatura_horno [°C],Peso_total_fusion [T],Energia [kWh],Tiempo_total_fusion [h],Consumo_combustible [kWh]
251,1550,33,7642,38,398
252,1520,32,7659,35,395
253,1576,34,7538,40,393
254,1550,34,7673,47,396
255,1548,35,7695,36,388
256,1564,33,7509,45,395
257,1582,32,7639,30,387
258,1514,33,7658,35,380
259,1524,32,7543,42,397
260,1577,32,7654,44,380
261,1593,33,7590,39,398
262,1595,34,7522,27,380
263,1565,34,7588,36,384
264,1528,34,7556,47,391
265,1536,33,7689,45,398
266,1581,32,7677,36,397
267,1547,34,7681,37,383
268,1566,33,7583,40,386
269,1507,34,7642,38,383
270,1561,32,7684,43,397
271,1596,33,7641,46,394
272,1584,33,7505,36,383
273,1597,32,7595,30,387
274,1586,33,7697,25,381
275,1591,35,7637,42,397
276,1510,35,7636,38,383
277,1587,34,7609,30,380
278,1556,32,7607,41,387
279,1532,34,7620,35,399
280,1502,34,7597,42,389
281,1596,33,7610,31,391
282,1565,35,7649,28,388
283,1542,34,7518,47,390
284,1530,34,7683,43,382
285,1572,35,7680,28,389
286,1545,33,7632,24,389
287,1505,32,7563,25,383
288,1593,33,7640,42,387
289,1531,35,7549,25,391
290,1524,34,7625,45,385
291,1531,33,7519,27,395
292,1575,33,7588,46,382
293,1582,33,7574,43,385
294,1592,32,7632,37,385
295,1553,35,7649,35,393
296,1551,34,7597,44,380
297,1513,33,7627,28,390
298,1510,35,7636,39,390
299,1549,32,7515,45,393
300,1540,35,7560,34,388
301,1579,32,7668,35,397
302,1520,34,7580,37,390
303,1509,35,7654,47,380
304,1583,32,7519,36,390
305,1598,33,7566,45,388
306,1530,32,7506,30,380
307,1509,32,7564,30,392
308,1533,35,7646,33,386
309,1529,35,7598,35,386
310,1552,32,7567,24,383
311,1507,33,7563,45,395
312,1587,35,7541,37,382
313,1553,33,7546,39,398
314,1509,35,7597,46,380
315,1512,35,7563,43,385
316,1539,32,7527,36,385
317,1558,35,7573,29,385
318,1553,34,7512,35,386
319,1518,32,7656,46,380
320,1592,32,7534,47,397
321,1548,35,7570,25,398
322,1531,33,7529,25,391
323,1553,34,7597,41,382
324,1538,34,7658,40,397
325,1548,33,7568,25,388
326,1528,33,7635,26,398
327,1502,32,7679,27,384
328,1533,35,7688,31,395
329,1547,33,7679,43,387
330,1540,33,7539,32,393
331,1578,32,7544,43,395
332,1502,33,7502,38,399
333,1504,35,7546,28,399
334,1568,33,7651,36,393
335,1551,33,7582,43,387
336,1584,34,7512,29,385
337,1535,34,7689,36,396
338,1576,32,7515,28,392
339,1568,35,7594,30,397
340,1519,35,7580,33,390
341,1585,35,7547,34,387
342,1570,35,7557,26,389
343,1518,35,7674,34,386
344,1509,35,7648,43,385
345,1563,33,7692,24,389
346,1564,32,7598,29,385
347,1571,33,7657,33,396
348,1532,34,7645,32,381
349,1583,32,7588,32,399
350,1539,34,7520,40,381
351,1506,33,7530,27,383
352,1521,34,7654,29,386
353,1598,32,7510,43,386
354,1533,32,7550,40,399
355,1517,33,7646,40,385
356,1599,34,7626,35,388
357,1574,32,7670,31,381
358,1590,35,7595,43,384
359,1516,32,7617,31,388
360,1526,32,7546,39,395
361,1514,32,7554,31,386
362,1587,35,7598,43,386
363,1576,33,7564,45,391
364,1585,32,7650,34,393
365,1530,34,7696,47,398
366,1510,33,7698,24,390
367,1570,35,7512,38,387
368,1520,32,7566,26,398
369,1514,32,7539,29,383
370,1539,32,7544,31,380
371,1527,33,7612,38,387
372,1570,35,7625,26,381
373,1546,32,7510,43,396
374,1512,34,7582,25,394
375,1509,32,7594,25,395
376,1527,32,7521,47,384
377,1527,34,7551,42,396
378,1525,33,7581,32,380
379,1558,33,7530,47,382
380,1592,33,7672,37,384
381,1501,35,7674,43,398
382,1523,32,7695,32,383
383,1573,34,7544,39,381
384,1544,35,7562,39,382
385,1551,34,7545,47,395
386,1544,34,7680,34,391
387,1504,34,7643,43,394
388,1558,33,7533,31,391
389,1516,33,7629,41,394
390,1567,35,7586,27,388
391,1506,32,7529,46,397
392,1538,35,7663,36,398
393,1578,33,7514,31,382
394,1553,34,7675,37,392
395,1596,33,7505,27,389
396,1594,32,7661,40,397
397,1533,35,7526,42,380
398,1541,34,7567,34,396
399,1544,34,7609,36,384
400,1598,34,7640,37,395
401,1576,35,7583,27,382
402,1506,32,7635,29,384
403,1580,32,7684,41,384
404,1541,35,7683,26,383
405,1555,32,7665,42,386
406,1588,34,7692,26,397
407,1590,35,7685,25,391
408,1551,33,7535,31,387
409,1505,35,7618,24,395
410,1599,35,7696,34,382
411,1502,32,7665,42,398
412,1537,35,7598,41,380
413,1544,34,7593,47,381
414,1599,32,7586,35,382
415,1513,35,7593,40,397
416,1579,34,7619,42,387
417,1589,32,7633,26,398
418,1583,33,7694,46,396
419,1518,33,7661,25,387
420,1531,32,7624,24,391
421,1548,32,7660,43,380
422,1509,32,7685,28,394
423,1572,35,7633,39,393
424,1528,34,7502,32,386
425,1543,34,7597,26,385
426,1544,33,7676,37,395
427,1566,34,7595,36,398
428,1524,32,7570,34,399
429,1590,35,7585,25,393
430,1564,34,7601,39,385
431,1522,32,7600,26,397
432,1537,32,7637,27,390
433,1547,34,7643,34,393
434,1503,35,7569,27,396
435,1546,32,7572,41,399
436,1572,34,7649,43,395
437,1502,32,7613,25,382
438,1581,34,7682,25,395
439,1503,34,7590,33,386
440,1564,34,7515,45,389
441,1512,35,7680,44,394
442,1538,33,7509,32,398
443,1503,32,7591,40,398
444,1504,35,7665,26,397
445,1567,35,7692,35,399
446,1533,35,7612,41,396
447,1545,32,7651,39,392
448,1539,34,7558,34,383
449,1525,34,7501,46,393
450,1508,34,7516,32,381
451,1577,32,7597,43,399
452,1567,33,7576,34,396
453,1581,32,7535,28,391
454,1571,32,7619,30,394
455,1536,32,7627,42,394
456,1561,35,7680,45,386
457,1565,34,7557,39,389
458,1560,32,7584,29,396
459,1571,33,7606,35,395
460,1516,33,7670,34,391
461,1592,33,7606,25,389
462,1572,33,7608,41,380
463,1503,34,7504,39,382
464,1504,34,7618,44,395
465,1519,34,7572,29,390
466,1537,32,7624,27,398
467,1597,35,7685,34,390
468,1581,35,7651,33,391
469,1582,34,7686,42,396
470,1582,33,7545,45,391
471,1582,35,7548,47,392
472,1538,33,7648,47,398
473,1595,35,7537,33,381
474,1596,33,7553,33,391
475,1577,34,7578,30,392
476,1561,35,7588,32,382
477,1527,32,7582,45,394
478,1502,34,7601,35,395
479,1539,32,7658,29,394
480,1573,32,7575,46,399
481,1590,35,7670,28,382
482,1521,34,7660,36,392
483,1505,34,7610,31,396
484,1528,35,7683,30,399
485,1501,34,7628,24,399
486,1515,35,7671,43,397
487,1506,35,7502,26,396
488,1579,33,7588,37,391
489,1516,34,7668,38,386
490,1568,32,7506,44,386
491,1536,32,7639,40,396
492,1538,34,7697,26,394
493,1553,33,7575,36,391
494,1513,34,7679,33,388
495,1593,35,7642,29,398
496,1545,33,7639,37,393
497,1503,32,7660,37,391
498,1591,33,7617,34,391
499,1508,32,7594,28,396
500,1504,33,7527,42,389
501,1546,33,7546,26,391
502,1526,34,7512,24,396
503,1503,35,7609,46,394
504,1543,35,7515,24,387
505,1555,33,7628,44,391
506,1569,33,7545,35,399
507,1532,35,7656,25,395
508,1529,32,7518,44,396
509,1513,35,7684,33,389
510,1574,33,7620,38,383
511,1565,32,7624,29,383
512,1524,35,7594,37,392
513,1514,33,7662,42,386
514,1564,32,7559,45,382
515,1510,34,7669,26,396
516,1533,35,7595,42,389
517,1529,33,7525,38,388
518,1531,32,7640,44,397
519,1522,32,7584,32,398
520,1597,34,7538,44,398
521,1597,33,7670,41,387
522,1534,33,7644,31,380
523,1534,35,7581,42,398
524,1544,34,7607,31,388
525,1538,35,7595,27,388
526,1580,34,7542,25,391
527,1526,32,7531,42,399
528,1507,35,7589,31,391
529,1567,34,7508,36,393
530,1501,32,7636,29,393
531,1526,34,7569,25,390
532,1593,32,7671,35,390
533,1579,33,7507,39,399
534,1519,34,7577,47,396
535,1596,35,7540,26,384
536,1517,34,7564,31,396
537,1598,33,7535,38,393
538,1504,35,7609,41,389
539,1539,35,7597,42,388
540,1561,33,7558,38,392
541,1532,35,7557,43,388
542,1564,34,7544,27,387
543,1505,34,7695,28,393
544,1531,32,7505,24,389
545,1574,34,7578,39,387
546,1515,32,7627,47,399
547,1500,32,7580,45,384
548,1519,33,7574,27,385
549,1549,34,7661,43,380
550,1577,33,7605,43,399
551,1516,35,7629,38,388
552,1526,32,7591,44,399
553,1533,34,7570,38,397
554,1528,35,7588,42,382
555,1534,34,7603,24,389
556,1582,33,7674,24,393
557,1527,35,7561,31,386
558,1513,33,7603,38,383
559,1527,35,7638,31,388
560,1587,33,7611,41,393
561,1560,34,7547,40,384
562,1574,35,7668,25,386
563,1529,33,7580,24,392
564,1550,32,7520,42,386
565,1526,32,7674,45,385
566,1584,35,7693,33,393
567,1504,34,7608,46,384
568,1594,34,7567,27,380
569,1598,32,7643,33,395
570,1524,33,7530,41,391
571,1553,33,7534,46,399
572,1525,32,7586,24,380
573,1577,35,7609,35,392
574,1548,32,7522,45,381
575,1546,34,7602,40,387
576,1571,35,7598,29,397
577,1544,32,7522,44,394
578,1542,35,7575,29,390
579,1584,35,7523,34,399
580,1566,32,7503,44,392
581,1502,34,7541,25,386
582,1517,34,7664,25,396
583,1508,33,7650,35,388
584,1593,34,7505,45,388
585,1591,32,7533,37,396
586,1516,32,7664,33,386
587,1549,34,7508,40,393
588,1509,33,7637,28,399
589,1512,34,7536,41,384
590,1529,35,7535,33,393
591,1531,32,7689,45,387
592,1555,33,7692,36,390
593,1506,32,7584,32,395
594,1546,35,7658,45,392
595,1570,32,7547,47,380
596,1500,35,7605,39,395
597,1573,33,7655,27,387
598,1556,34,7541,24,384
599,1544,34,7575,25,386
600,1573,35,7584,46,381
601,1590,35,7615,44,386
602,1586,33,7603,24,398
603,1530,32,7528,46,380
604,1571,35,7578,29,383
605,1551,33,7654,34,392
606,1579,35,7586,33,394
607,1559,35,7579,30,387
608,1517,35,7522,43,390
609,1515,34,7680,28,394
610,1548,35,7582,42,395
611,1538,32,7510,32,380
612,1579,33,7518,43,388
613,1535,35,7581,45,399
614,1570,34,7529,44,388
615,1505,35,7520,36,387
616,1544,33,7560,32,381
617,1538,33,7628,38,381
618,1519,32,7530,24,397
619,1591,32,7663,42,387
620,1568,35,7657,33,388
621,1533,33,7595,44,392
622,1500,33,7614,31,380
623,1534,34,7653,27,396
624,1597,34,7676,45,383
625,1561,34,7698,28,389
626,1551,32,7686,29,386
627,1583,33,7526,35,397
628,1538,33,7672,42,381
629,1598,33,7571,42,393
630,1582,32,7636,47,389
631,1566,35,7698,33,380
632,1542,35,7564,43,393
633,1522,35,7647,42,391
634,1583,35,7502,26,385
635,1567,35,7564,25,384
636,1532,32,7632,27,394
637,1501,35,7642,38,389
638,1542,32,7575,26,391
639,1508,32,7524,34,389
640,1575,32,7538,40,380
641,1548,35,7506,44,381
642,1572,34,7621,30,394
643,1580,35,7523,34,381
644,1529,33,7552,35,399
645,1516,32,7671,39,385
646,1542,33,7623,25,389
647,1512,33,7520,46,396
648,1561,32,7699,26,392
649,1554,32,7539,38,382
650,1563,33,7567,42,386
651,1554,35,7571,32,384
652,1588,33,7693,28,383
653,1506,33,7634,46,398
654,1595,33,7649,39,398
655,1512,32,7665,40,382
656,1537,33,7695,33,397
657,1537,33,7592,44,384
658,1556,32,7690,31,396
659,1544,32,7657,35,382
660,1599,34,7566,24,389
661,1533,33,7600,27,394
662,1545,33,7613,24,384
663,1522,32,7511,28,389
664,1561,33,7532,38,381
665,1545,33,7567,36,390
666,1540,32,7693,27,384
667,1529,33,7656,38,395
668,1528,32,7533,42,382
669,1539,32,7565,41,396
670,1576,33,7630,33,398
671,1549,33,7542,40,382
672,1569,33,7546,37,381
673,1525,32,7629,24,391
674,1528,33,7657,34,383
675,1554,35,7580,30,392
676,1514,35,7686,32,399
677,1563,32,7516,28,392
678,1585,32,7694,30,396
679,1522,33,7556,43,381
680,1535,32,7544,28,388
681,1598,34,7662,41,381
682,1506,34,7500,27,387
683,1543,35,7528,42,383
684,1536,32,7565,27,380
685,1521,33,7673,35,399
686,1579,35,7581,42,389
687,1501,32,7669,46,389
688,1548,34,7608,27,390
689,1500,34,7676,37,399
690,1549,34,7545,36,391
691,1553,33,7674,35,382
692,1522,32,7664,47,384
693,1568,32,7625,43,399
694,1550,33,7563,37,392
695,1511,34,7647,45,380
696,1511,35,7600,47,390
697,1599,32,7526,39,397
698,1552,32,7629,40,395
699,1551,34,7694,29,388
700,1569,33,7641,47,390
701,1543,32,7590,36,395
702,1516,34,7615,36,398
703,1593,34,7537,29,384
704,1554,35,7651,26,381
705,1545,34,7549,35,392
706,1522,34,7611,28,384
707,1535,34,7633,35,384
708,1549,32,7552,46,392
709,1544,32,7679,29,394
710,1550,35,7531,34,387
711,1561,34,7646,40,384
712,1581,34,7651,25,391
713,1567,32,7688,40,384
714,1562,33,7637,27,381
715,1590,33,7514,31,381
716,1576,33,7592,46,391
717,1515,32,7612,30,394
718,1528,33,7550,41,396
719,1543,35,7526,26,388
720,1510,33,7505,46,388
721,1518,33,7538,35,389
722,1530,33,7542,38,398
723,1514,35,7683,33,380
724,1514,34,7535,41,398
725,1580,34,7617,29,394
726,1500,35,7654,33,398
727,1584,32,7583,40,382
728,1501,32,7614,45,398
729,1516,32,7540,32,380
730,1596,32,7691,36,390
731,1582,32,7699,43,381
732,1536,34,7576,40,395
733,1558,35,7606,41,397
734,1538,34,7551,37,397
735,1546,35,7549,24,380
736,1516,34,7524,37,395
737,1595,35,7602,26,396
738,1544,34,7524,44,394
739,1526,34,7665,25,395
740,1522,32,7649,44,394
741,1523,34,7510,24,383
742,1593,35,7647,34,383
743,1593,34,7527,46,388
744,1563,32,7572,44,396
745,1550,35,7662,38,381
746,1554,32,7684,33,387
747,1546,35,7520,25,380
748,1514,35,7526,24,381
749,1583,33,7565,40,382
750,1518,35,7541,25,398
751,1593,34,7583,33,389
752,1519,35,7593,46,388
753,1501,34,7685,45,390
754,1527,33,7669,25,382
755,1503,35,7547,28,389
756,1533,35,7501,46,384
757,1558,33,7584,35,383
758,1590,34,7510,45,397
759,1554,35,7581,46,397
760,1550,33,7542,32,388
761,1511,35,7643,43,385
762,1548,33,7586,43,386
763,1540,32,7572,36,387
764,1535,34,7687,34,384
765,1568,33,7520,29,397
766,1558,35,7638,43,394
767,1562,33,7506,30,389
768,1555,34,7588,28,397
769,1556,32,7592,27,390
770,1533,33,7623,40,391
771,1522,35,7660,24,397
772,1521,34,7569,46,392
773,1538,34,7521,30,391
774,1581,32,7664,35,397
775,1522,34,7674,39,382
776,1557,34,7686,45,398
777,1595,35,7677,35,384
778,1546,34,7673,24,385
779,1592,32,7620,39,393
780,1524,35,7617,38,385
781,1565,35,7669,34,394
782,1530,32,7564,39,383
783,1506,33,7615,31,380
784,1538,35,7530,46,395
785,1560,35,7601,41,382
786,1584,34,7643,30,381
787,1586,34,7625,28,397
788,1556,32,7653,39,398
789,1550,32,7582,37,385
790,1583,35,7605,41,391
791,1570,33,7698,39,389
792,1514,34,7628,35,398
793,1598,34,7689,45,382
794,1580,34,7697,36,396
795,1508,33,7650,39,391
796,1541,34,7653,31,393
797,1582,34,7694,42,387
798,1541,33,7680,29,384
799,1526,35,7507,30,398
800,1530,33,7644,41,381
801,1581,35,7504,32,389
802,1509,32,7685,29,386
803,1521,34,7555,27,382
804,1597,32,7538,37,390
805,1505,33,7687,24,392
806,1587,35,7576,31,392
807,1548,33,7699,43,395
808,1542,33,7552,47,396
809,1596,33,7672,38,382
810,1583,33,7654,24,387
811,1510,34,7677,34,386
812,1543,32,7655,26,387
813,1578,35,7670,31,396
814,1511,33,7559,47,389
815,1510,34,7611,45,381
816,1511,32,7693,31,389
817,1501,35,7585,42,387
818,1584,32,7684,43,398
819,1552,32,7562,29,382
820,1591,33,7692,41,399
821,1598,32,7603,33,399
822,1553,35,7602,31,395
823,1540,34,7615,43,398
824,1595,35,7694,43,384
825,1517,32,7643,27,394
826,1524,35,7563,38,398
827,1581,32,7657,45,388
828,1535,32,7658,38,388
829,1586,32,7658,32,394
830,1544,34,7648,29,382
831,1576,34,7658,39,393
832,1592,32,7564,36,383
833,1557,32,7657,25,396
834,1596,34,7602,33,382
835,1543,33,7541,47,392
836,1532,34,7574,34,388
837,1598,32,7696,47,388
838,1568,35,7680,31,381
839,1554,33,7545,25,399
840,1585,34,7562,47,386
841,1507,34,7534,43,391
842,1528,32,7590,24,388
843,1526,34,7601,32,390
844,1545,33,7652,43,381
845,1539,35,7650,31,387
846,1524,33,7699,26,385
847,1555,34,7558,37,391
848,1521,33,7640,39,394
849,1527,32,7675,28,383
850,1503,33,7658,47,392
851,1527,32,7556,37,395
852,1578,33,7567,36,383
853,1534,33,7580,41,397
854,1539,32,7633,37,394
855,1553,34,7620,43,386
856,1507,33,7574,41,385
857,1582,35,7641,24,384
858,1596,32,7588,40,389
859,1579,32,7530,31,398
860,1549,35,7604,33,385
861,1594,34,7585,27,388
862,1513,32,7547,45,386
863,1536,33,7579,35,396
864,1580,35,7541,43,381
865,1593,34,7603,43,393
866,1561,32,7626,34,385
867,1526,33,7547,29,396
868,1546,32,7605,35,385
869,1579,34,7599,30,397
870,1554,34,7552,30,385
871,1535,34,7651,34,391
872,1557,32,7644,39,399
873,1554,33,7602,39,399
874,1594,33,7503,27,385
875,1575,32,7650,38,390
876,1542,35,7573,36,383
877,1597,33,7556,33,397
878,1525,32,7615,31,389
879,1554,34,7582,43,393
880,1514,35,7505,38,382
881,1538,33,7683,43,397
882,1564,32,7602,41,388
883,1553,32,7619,24,384
884,1521,34,7681,29,399
885,1579,32,7528,25,394
886,1557,35,7678,41,385
887,1559,33,7531,42,381
888,1506,34,7512,40,393
889,1566,32,7661,30,387
890,1538,34,7696,36,384
891,1596,34,7624,39,389
892,1551,33,7676,35,397
893,1525,32,7618,29,381
894,1504,33,7630,26,399
895,1567,34,7594,36,391
896,1518,33,7645,31,389
897,1593,32,7590,33,388
898,1599,35,7583,27,399
899,1529,34,7674,43,395
900,1534,33,7580,28,390
901,1512,32,7558,46,391
902,1593,34,7605,34,381
903,1517,32,7609,34,383
904,1599,34,7625,41,397
905,1599,33,7558,38,399
906,1540,32,7662,42,395
907,1575,34,7691,28,386
908,1517,34,7634,47,393
909,1554,34,7571,44,388
910,1564,34,7627,27,393
911,1596,35,7580,26,390
912,1587,35,7596,41,384
913,1559,33,7536,37,382
914,1589,35,7696,37,391
915,1574,33,7578,32,396
916,1594,34,7592,37,391
917,1532,32,7503,45,385
918,1548,34,7585,30,387
919,1578,32,7690,44,399
920,1503,32,7608,46,391
921,1516,33,7509,31,380
922,1500,32,7529,45,390
923,1527,35,7530,41,389
924,1516,33,7556,44,394
925,1504,32,7509,27,397
926,1532,33,7519,24,385
927,1525,33,7698,45,387
928,1595,34,7641,47,381
929,1528,35,7619,31,384
930,1513,33,7579,24,399
931,1564,32,7671,40,382
932,1570,32,7579,26,393
933,1522,32,7609,45,386
934,1581,35,7664,25,396
935,1536,33,7575,32,395
936,1597,33,7613,27,381
937,1527,35,7547,29,383
938,1521,35,7575,33,393
939,1526,35,7588,40,390
940,1555,35,7647,32,398
941,1515,34,7564,47,385
942,1585,33,7654,29,393
943,1561,33,7548,24,389
944,1566,33,7573,27,389
945,1573,33,7575,24,384
946,1559,35,7613,41,389
947,1501,35,7695,43,386
948,1545,32,7583,41,384
949,1521,35,7511,29,389
950,1528,34,7594,40,381
951,1555,35,7576,24,387
952,1511,34,7628,37,383
953,1589,33,7663,32,385
954,1592,35,7563,27,389
955,1528,32,7657,29,391
956,1593,34,7665,35,398
957,1582,34,7678,32,395
958,1563,35,7583,36,389
959,1562,33,7620,43,381
960,1567,34,7673,31,380
961,1573,32,7507,40,395
962,1536,33,7696,45,388
963,1580,32,7659,28,383
964,1555,32,7548,30,385
965,1552,35,7575,47,395
966,1547,35,7503,45,381
967,1543,32,7655,35,392
968,1548,33,7533,29,394
969,1504,32,7650,44,399
970,1555,34,7632,30,384
971,1567,33,7525,25,388
972,1539,32,7698,30,382
973,1546,33,7599,42,399
974,1584,33,7504,47,387
975,1568,34,7648,39,384
976,1534,35,7610,46,398
977,1566,35,7503,42,394
978,1550,33,7665,45,398
979,1531,33,7643,44,397
980,1514,35,7626,40,383
981,1586,35,7554,28,395
982,1587,34,7662,24,389
983,1590,35,7657,36,388
984,1554,34,7503,25,386
985,1545,34,7522,26,399
986,1560,32,7590,33,387
987,1510,32,7503,39,390
988,1549,33,7566,24,386
989,1577,33,7569,46,392
990,1579,34,7566,40,392
