,Carbonato_sodio [%],Caliza [%],Silica_arena [%],Densidad [g/cm3]
309,13,7,62,2450
310,16,5,67,2545
311,13,6,61,2453
312,14,8,60,2423
313,16,8,69,2539
314,14,11,64,2502
315,16,6,68,2431
316,14,8,62,2489
317,12,10,67,2422
318,16,10,68,2418
319,16,10,63,2518
320,17,6,69,2466
321,12,8,66,2495
322,17,6,61,2567
323,13,11,62,2540
324,12,9,67,2472
325,16,11,67,2412
326,16,5,61,2506
327,13,8,68,2424
328,15,7,64,2419
329,16,6,64,2591
330,17,9,65,2570
331,15,6,60,2554
332,12,5,67,2503
333,14,6,69,2401
334,16,10,63,2565
335,15,10,68,2481
336,17,6,65,2538
337,16,10,66,2434
338,12,6,69,2500
339,13,5,66,2570
340,16,11,60,2577
341,14,8,67,2448
342,15,5,61,2451
343,16,8,65,2402
344,15,11,68,2409
345,17,10,64,2495
346,12,10,63,2471
347,13,7,63,2582
348,15,11,66,2430
349,15,8,68,2550
350,12,10,63,2559
351,17,11,69,2458
352,12,8,62,2558
353,17,9,61,2460
354,14,8,69,2518
355,16,8,68,2469
356,17,5,69,2406
357,17,11,61,2512
358,16,9,65,2502
359,16,9,68,2494
360,12,7,69,2540
361,17,11,69,2439
362,14,9,68,2527
363,16,9,61,2559
364,15,5,62,2579
365,15,5,62,2588
366,15,6,60,2533
367,13,6,69,2419
368,13,5,63,2585
369,15,6,69,2596
370,15,9,62,2442
371,16,11,68,2537
372,14,6,64,2586
373,13,5,69,2449
374,17,7,69,2429
375,16,6,66,2546
376,12,10,69,2588
377,13,7,67,2597
378,14,11,64,2403
379,16,9,65,2401
380,14,8,64,2586
381,17,8,65,2448
382,14,5,62,2583
383,17,6,60,2485
384,17,9,63,2414
385,15,7,69,2471
386,14,6,61,2419
387,16,11,65,2574
388,14,11,64,2592
389,12,5,64,2560
390,14,10,61,2449
391,13,6,62,2597
392,14,8,66,2467
393,14,7,62,2421
394,14,7,69,2420
395,17,10,63,2411
396,14,11,66,2443
397,16,9,66,2540
398,13,11,62,2521
399,16,9,62,2496
400,12,8,67,2582
401,14,11,69,2457
402,15,5,66,2597
403,17,10,64,2581
404,13,11,65,2508
405,17,5,64,2418
406,13,10,60,2507
407,13,7,68,2402
408,14,10,64,2524
409,12,7,66,2557
410,15,10,69,2419
411,16,10,67,2547
412,13,5,65,2408
413,17,11,68,2402
414,17,11,66,2578
415,14,11,64,2479
416,13,7,65,2486
417,17,10,62,2425
418,16,5,69,2422
419,12,10,61,2473
420,12,8,66,2469
421,17,9,69,2574
422,14,8,69,2476
423,17,11,69,2482
424,14,6,60,2411
425,17,6,64,2547
426,12,8,60,2492
427,17,11,67,2540
428,15,10,68,2507
429,16,6,60,2498
430,13,5,69,2505
431,13,5,67,2409
432,13,6,63,2563
433,15,6,61,2588
434,13,8,62,2577
435,13,11,60,2483
436,15,5,64,2474
437,14,6,69,2567
438,12,11,60,2577
439,12,6,65,2516
440,16,9,61,2558
441,17,11,69,2469
442,14,7,63,2515
443,16,11,67,2536
444,13,10,68,2459
445,17,10,65,2457
446,13,7,68,2584
447,12,6,63,2592
448,15,8,66,2405
449,12,9,69,2517
450,12,8,66,2423
451,17,7,63,2513
452,12,5,63,2414
453,15,8,69,2567
454,16,5,62,2511
455,12,5,66,2494
456,13,9,69,2452
457,15,6,68,2531
458,12,8,66,2435
459,16,5,64,2528
460,14,7,66,2553
461,14,7,61,2474
462,17,9,66,2516
463,12,9,68,2518
464,17,11,68,2437
465,16,10,67,2413
466,17,10,64,2511
467,12,5,61,2475
468,16,6,62,2425
469,13,8,67,2540
470,14,11,67,2496
471,17,11,69,2505
472,13,9,69,2503
473,17,10,64,2510
474,12,8,67,2477
475,12,5,69,2555
476,14,10,65,2462
477,12,6,62,2438
478,15,8,69,2566
479,12,10,63,2569
480,17,10,66,2461
481,17,10,69,2448
482,15,8,69,2427
483,16,11,62,2551
484,15,6,66,2499
485,16,7,63,2461
486,13,8,67,2493
487,13,6,66,2563
488,13,5,67,2575
489,17,5,64,2537
490,15,7,64,2515
491,12,6,61,2438
492,12,11,66,2541
493,13,8,66,2477
494,14,7,68,2516
495,17,5,69,2506
496,15,5,64,2571
497,13,5,66,2517
498,16,10,61,2497
499,17,8,60,2540
500,17,5,63,2424
501,16,10,65,2596
502,15,8,62,2559
503,15,9,69,2434
504,14,8,63,2548
505,16,5,61,2427
506,17,5,60,2554
507,15,7,61,2534
508,15,8,63,2593
509,15,11,67,2472
510,12,5,63,2459
511,17,5,67,2452
512,17,9,60,2566
513,17,9,65,2552
514,16,10,68,2540
515,14,8,63,2570
516,16,8,66,2446
517,12,11,61,2479
518,13,7,62,2590
519,17,11,65,2443
520,14,9,64,2401
521,15,9,60,2531
522,16,5,65,2574
523,14,9,66,2574
524,15,11,68,2495
525,12,6,61,2404
526,17,6,63,2544
527,12,7,61,2460
528,12,5,65,2431
529,17,11,61,2418
530,12,9,65,2424
531,17,7,62,2422
532,16,8,65,2508
533,14,11,63,2538
534,13,7,60,2551
535,14,7,68,2439
536,12,8,67,2559
537,12,8,60,2400
538,15,5,68,2501
539,15,10,64,2497
540,15,8,68,2450
541,17,8,68,2499
542,13,11,65,2460
543,17,7,65,2440
544,16,9,69,2546
545,16,9,63,2407
546,12,10,65,2573
547,14,8,64,2580
548,14,6,65,2556
549,16,9,63,2415
550,12,7,67,2552
551,14,8,68,2527
552,17,11,60,2561
553,14,10,67,2594
554,15,8,63,2534
555,13,6,66,2539
556,17,7,66,2416
557,15,11,62,2508
558,15,10,66,2476
559,16,6,66,2553
560,13,7,61,2416
561,17,10,63,2542
562,14,8,69,2577
563,16,9,60,2407
564,14,6,62,2407
565,14,6,69,2556
566,15,11,63,2413
567,12,5,61,2441
568,13,10,65,2476
569,14,9,63,2557
570,16,11,61,2515
571,17,9,69,2595
572,15,6,69,2510
573,16,7,68,2595
574,15,5,67,2413
575,16,7,65,2518
576,15,11,63,2502
577,14,8,62,2572
578,12,11,64,2549
579,17,7,64,2572
580,15,10,60,2507
581,15,9,64,2578
582,13,9,63,2453
583,17,5,66,2594
584,13,11,66,2580
585,15,10,65,2560
586,12,11,68,2515
587,12,9,66,2492
588,16,8,63,2501
589,12,6,64,2504
590,12,5,61,2594
591,16,10,63,2500
592,14,8,63,2598
593,15,5,69,2592
594,15,11,63,2577
595,15,9,68,2535
596,17,6,69,2535
597,16,5,61,2584
598,12,6,67,2414
599,15,6,61,2531
600,15,5,61,2566
601,13,8,63,2574
602,12,7,60,2577
603,12,10,63,2561
604,13,6,62,2496
605,17,10,63,2410
606,15,6,61,2486
607,12,8,67,2527
608,16,9,69,2536
609,17,9,64,2456
610,13,9,64,2505
611,17,6,66,2547
612,13,10,69,2580
613,17,11,69,2451
614,16,8,68,2447
615,14,10,62,2427
616,16,6,61,2495
617,16,11,67,2430
618,13,10,61,2466
619,12,5,65,2550
620,13,6,69,2495
621,12,9,69,2500
622,15,11,69,2564
623,15,7,66,2479
624,14,7,63,2592
625,14,9,63,2573
626,14,11,62,2477
627,15,11,66,2577
628,15,10,66,2489
629,13,9,64,2598
630,16,7,63,2436
631,12,5,62,2588
632,15,9,65,2546
633,16,10,62,2409
634,15,8,60,2442
635,13,6,61,2564
636,15,5,64,2545
637,17,5,60,2416
638,14,8,65,2419
639,16,8,65,2532
640,15,6,68,2484
641,14,6,60,2433
642,16,7,65,2583
643,15,6,62,2521
644,15,8,61,2412
645,15,7,62,2400
646,15,5,66,2425
647,12,5,64,2542
648,14,9,67,2517
649,14,8,60,2420
650,14,5,61,2590
651,15,5,61,2597
652,17,8,61,2487
653,14,6,60,2497
654,14,11,63,2594
655,16,7,61,2525
656,16,6,65,2444
657,15,6,65,2579
658,17,11,66,2449
659,17,7,68,2495
660,16,6,66,2592
661,16,11,66,2562
662,12,6,65,2505
663,17,5,62,2441
664,14,8,60,2520
665,14,10,63,2419
666,13,8,62,2409
667,12,5,67,2479
668,16,6,60,2452
669,17,8,67,2559
670,16,9,64,2451
671,16,9,69,2588
672,13,5,60,2500
673,12,10,65,2472
674,15,8,60,2552
675,12,5,67,2493
676,17,8,65,2534
677,14,5,60,2513
678,12,8,65,2494
679,13,11,68,2477
680,13,5,61,2460
681,12,5,69,2450
682,17,7,61,2547
683,16,8,66,2548
684,12,9,69,2440
685,15,5,68,2409
686,14,8,60,2484
687,14,6,67,2457
688,17,10,66,2470
689,16,6,61,2594
690,15,11,63,2503
691,16,7,62,2452
692,13,5,64,2412
693,17,6,69,2420
694,17,9,60,2467
695,16,10,67,2496
696,14,6,63,2416
697,17,8,62,2538
698,12,8,65,2453
699,16,11,69,2565
700,16,6,62,2487
701,13,7,66,2417
702,12,5,66,2405
703,16,11,63,2579
704,14,7,66,2564
705,12,8,64,2569
706,13,5,62,2506
707,12,5,63,2579
708,12,6,69,2509
709,13,10,62,2467
710,14,11,63,2462
711,12,7,60,2558
712,17,7,63,2458
713,17,6,68,2519
714,12,5,61,2479
715,14,10,66,2409
716,12,10,65,2423
717,17,5,65,2536
718,15,11,63,2438
719,14,9,68,2431
720,17,9,62,2414
721,14,6,61,2528
722,14,7,65,2414
723,12,7,67,2465
724,14,9,60,2526
725,12,7,61,2531
726,16,8,61,2420
727,15,7,66,2524
728,17,5,66,2593
729,12,8,64,2581
730,15,11,65,2537
731,17,10,61,2484
732,16,5,65,2452
733,12,7,61,2507
734,15,10,66,2568
735,12,7,65,2412
736,16,6,66,2419
737,15,5,64,2483
738,14,11,62,2408
739,13,6,68,2542
740,14,7,67,2480
741,17,7,64,2410
742,17,8,62,2552
743,15,9,60,2548
744,15,10,69,2580
745,15,8,68,2576
746,16,8,61,2581
747,17,10,69,2404
748,13,9,61,2561
749,14,6,65,2508
750,16,9,64,2498
751,17,5,67,2401
752,14,7,65,2431
753,17,11,61,2478
754,12,9,67,2566
755,17,6,65,2471
756,17,9,60,2413
757,14,5,65,2553
758,14,9,68,2594
759,17,11,64,2428
760,13,8,65,2546
761,14,10,64,2573
762,15,11,69,2522
763,16,5,60,2485
764,17,8,65,2579
765,12,7,65,2447
766,17,9,65,2548
767,16,5,64,2466
768,16,11,65,2472
769,15,5,69,2446
770,16,11,60,2425
771,13,6,67,2541
772,16,5,66,2537
773,17,5,66,2503
774,15,6,62,2402
775,12,6,67,2569
776,17,11,69,2410
777,17,6,67,2569
778,15,11,60,2481
779,16,5,67,2537
780,16,9,67,2441
781,12,11,64,2416
782,14,8,62,2409
783,12,5,65,2471
784,14,11,68,2504
785,13,7,66,2496
786,16,11,60,2560
787,13,7,61,2583
788,16,6,60,2523
789,16,8,67,2598
790,16,9,61,2580
791,14,7,65,2543
792,17,9,64,2584
793,15,7,65,2400
794,12,6,68,2437
795,17,10,67,2473
796,14,5,60,2414
797,12,5,65,2429
798,14,7,66,2514
799,16,6,63,2532
800,16,6,63,2584
801,15,11,67,2591
802,15,9,68,2557
803,16,5,64,2500
804,17,6,62,2494
805,17,9,68,2589
806,13,11,65,2580
807,14,7,69,2510
808,15,7,68,2405
809,17,10,63,2483
810,17,11,63,2568
811,15,10,69,2423
812,12,5,66,2421
813,16,5,64,2548
814,12,5,65,2488
815,16,8,62,2416
816,13,8,67,2575
817,16,7,69,2505
818,16,8,60,2453
819,14,10,65,2520
820,13,6,65,2458
821,15,9,61,2532
822,15,6,67,2542
823,12,7,65,2495
824,16,8,64,2510
825,13,7,65,2565
826,12,8,66,2528
827,15,10,65,2473
828,14,10,67,2567
829,15,11,68,2506
830,16,5,66,2494
831,15,6,67,2403
832,16,5,65,2559
833,12,8,67,2428
834,13,10,63,2483
835,13,11,62,2585
836,14,7,69,2497
837,17,10,64,2589
838,14,8,65,2564
839,13,7,64,2558
840,16,11,64,2505
841,15,9,67,2487
842,15,5,65,2463
843,14,8,67,2472
844,16,7,66,2558
845,16,7,64,2424
846,12,9,62,2564
847,12,7,65,2453
848,17,6,63,2458
849,17,5,67,2550
850,14,11,65,2596
851,14,7,65,2573
852,12,9,63,2549
853,16,6,69,2595
854,13,7,62,2514
855,16,8,66,2509
856,12,6,67,2506
857,15,5,60,2521
858,13,6,62,2516
859,17,6,63,2551
860,15,11,61,2545
861,12,6,66,2427
862,14,8,63,2509
863,16,7,65,2446
864,16,9,61,2514
865,13,8,62,2568
866,15,9,64,2587
867,17,10,60,2549
868,16,11,62,2559
869,15,5,66,2464
870,13,9,68,2498
871,17,6,67,2432
872,14,10,66,2532
873,16,7,63,2530
874,13,9,60,2428
875,17,7,61,2569
876,15,5,69,2551
877,12,8,69,2589
878,14,11,69,2469
879,15,7,67,2539
880,15,9,61,2538
881,16,10,66,2531
882,12,7,64,2457
883,12,11,64,2503
884,15,5,63,2465
885,13,10,62,2488
886,15,11,65,2545
887,15,6,65,2457
888,13,10,68,2564
889,16,5,69,2497
890,14,10,68,2544
891,14,5,65,2405
892,14,9,60,2471
893,13,8,65,2564
894,12,5,64,2534
895,12,11,67,2579
896,16,11,65,2405
897,15,11,64,2449
898,14,11,67,2523
899,17,8,67,2508
900,12,6,66,2503
901,16,5,69,2526
902,13,11,63,2541
903,16,10,67,2499
904,15,10,61,2472
905,17,6,62,2576
906,16,11,62,2494
907,15,6,68,2446
908,13,9,62,2406
909,15,6,64,2525
910,17,10,67,2555
911,15,9,68,2501
912,12,11,64,2460
913,13,11,68,2493
914,13,6,61,2597
915,13,9,69,2444
916,13,5,66,2479
917,17,5,65,2467
918,14,9,61,2456
919,16,8,65,2475
920,16,11,69,2506
921,17,8,62,2539
922,14,9,61,2422
923,12,7,69,2578
924,17,5,60,2579
925,16,10,68,2469
926,12,5,69,2506
927,13,7,69,2425
928,12,11,68,2527
929,13,7,66,2501
930,16,10,60,2436
931,12,8,60,2584
932,15,10,64,2572
933,14,8,64,2453
934,14,6,68,2598
935,17,5,64,2518
936,17,8,69,2528
937,17,11,63,2470
938,14,10,67,2441
939,13,7,69,2507
940,16,10,66,2513
941,14,6,66,2567
942,15,8,67,2460
943,16,7,69,2534
944,16,6,63,2412
945,16,10,66,2453
946,13,10,69,2455
947,17,5,60,2433
948,16,5,62,2454
949,15,7,65,2466
950,12,5,68,2490
951,12,10,68,2568
952,13,10,66,2469
953,16,7,63,2422
954,16,7,65,2495
955,17,6,65,2589
956,13,9,69,2574
957,16,9,62,2481
958,14,7,62,2562
959,17,8,66,2512
960,12,9,66,2437
961,17,11,61,2582
962,16,8,65,2539
963,17,8,66,2473
964,17,9,65,2548
965,13,9,65,2439
966,15,5,61,2598
967,16,8,63,2530
968,13,11,66,2559
969,17,8,62,2522
970,13,10,61,2552
971,15,8,60,2417
972,14,5,69,2595
973,13,11,65,2446
974,17,5,60,2459
975,14,11,62,2452
976,15,11,66,2578
977,14,10,69,2520
978,13,9,64,2450
979,16,9,62,2535
980,13,10,69,2459
981,13,10,60,2401
982,15,6,60,2543
983,12,5,64,2565
984,14,7,60,2428
985,13,9,66,2591
986,14,9,61,2527
987,14,6,69,2505
988,15,5,65,2450
989,14,8,67,2494
990,16,8,67,2573
991,14,10,64,2535
992,16,11,67,2508
993,17,6,60,2533
994,17,9,62,2572
995,14,11,62,2494
996,13,6,61,2503
997,16,11,66,2411
998,14,5,69,2428
999,12,5,68,2407
1000,12,5,65,2489
1001,13,6,67,2400
1002,14,7,60,2540
1003,13,9,68,2524
1004,15,10,61,2548
1005,15,9,61,2431
1006,15,6,61,2512
1007,12,7,60,2527
1008,15,9,68,2500
1009,16,9,68,2432
1010,17,10,66,2433
1011,17,7,68,2549
1012,15,7,69,2506
1013,17,10,64,2587
1014,13,11,69,2458
1015,15,8,63,2573
1016,14,11,68,2487
1017,13,9,67,2481
1018,16,11,65,2465
1019,16,8,69,2466
1020,16,11,67,2401
1021,13,6,61,2413
1022,12,5,63,2490
1023,14,7,69,2561
1024,13,8,69,2567
1025,13,6,64,2407
1026,17,8,62,2551
1027,16,6,63,2469
1028,14,6,66,2581
1029,12,7,61,2562
1030,13,5,62,2591
1031,17,11,61,2458
1032,13,8,66,2508
1033,12,10,66,2516
1034,17,5,67,2588
1035,17,10,66,2440
1036,17,9,69,2533
1037,12,11,65,2435
1038,15,9,67,2442
1039,14,6,65,2517
1040,15,6,64,2474
1041,14,9,69,2552
1042,15,5,61,2411
1043,13,11,62,2592
1044,16,8,62,2451
1045,17,9,68,2543
1046,16,7,63,2516
1047,13,5,67,2450
1048,16,6,61,2470
1049,17,11,67,2468
1050,16,7,64,2538
1051,14,11,63,2546
1052,12,9,60,2416
1053,12,5,66,2498
1054,17,9,60,2430
1055,12,7,62,2548
1056,14,6,60,2486
1057,17,11,63,2418
1058,13,10,64,2423
1059,12,5,69,2558
1060,15,10,66,2436
1061,16,11,62,2594
1062,16,10,60,2402
1063,14,10,60,2542
1064,13,5,68,2586
1065,12,6,61,2539
1066,17,11,62,2596
1067,13,11,66,2550
1068,17,11,62,2547
1069,15,6,60,2501
1070,15,7,67,2424
1071,12,10,68,2464
1072,15,5,65,2479
1073,17,9,61,2573
1074,16,11,62,2441
1075,12,8,62,2578
1076,13,6,64,2562
1077,14,6,64,2465
1078,12,6,66,2402
1079,16,7,63,2401
1080,17,7,68,2499
1081,15,7,68,2533
1082,14,5,62,2422
1083,13,8,66,2418
1084,12,10,65,2483
1085,14,10,65,2507
1086,13,8,60,2509
1087,16,5,69,2599
1088,16,5,63,2554
1089,15,10,68,2429
1090,15,6,68,2454
1091,14,11,62,2543
1092,17,8,62,2434
1093,15,6,65,2433
1094,12,5,62,2576
1095,14,10,60,2596
1096,14,10,61,2405
1097,17,5,68,2565
1098,15,5,63,2447
1099,16,8,64,2578
1100,16,10,63,2411
1101,14,8,67,2500
1102,14,10,69,2434
1103,15,7,62,2516
1104,16,8,69,2528
1105,15,5,68,2447
1106,13,6,64,2543
1107,17,6,64,2489
1108,17,8,62,2564
1109,13,10,66,2479
1110,14,8,61,2585
1111,15,11,69,2587
1112,15,8,60,2403
1113,16,9,66,2568
1114,12,5,63,2546
1115,12,8,64,2474
1116,17,5,67,2540
1117,14,10,68,2529
1118,15,11,61,2468
1119,15,6,68,2462
1120,12,9,63,2558
1121,12,8,61,2431
1122,16,5,69,2543
1123,17,6,67,2440
1124,12,5,64,2565
1125,13,11,63,2531
1126,16,8,64,2563
1127,14,7,64,2513
1128,16,9,69,2446
1129,12,11,64,2414
1130,15,8,63,2574
1131,16,5,66,2527
1132,14,8,68,2582
1133,15,6,65,2533
1134,17,11,60,2434
1135,13,8,60,2579
1136,12,7,62,2455
1137,15,11,63,2422
1138,17,7,61,2432
1139,14,5,63,2471
1140,16,6,69,2523
1141,12,8,69,2511
1142,17,11,67,2535
1143,14,11,68,2501
1144,16,5,68,2506
1145,17,6,64,2565
1146,14,7,66,2517
1147,17,9,60,2584
1148,13,6,68,2558
1149,15,8,64,2545
1150,14,11,62,2592
1151,17,7,65,2551
1152,15,7,67,2449
1153,13,10,61,2468
1154,17,6,61,2441
1155,17,10,69,2501
1156,12,11,63,2495
1157,14,11,66,2535
1158,17,6,60,2440
1159,12,9,63,2439
1160,17,6,63,2444
1161,17,7,62,2452
1162,15,5,63,2508
1163,16,9,60,2430
1164,14,8,67,2583
1165,15,11,67,2553
1166,14,7,66,2503
1167,16,7,65,2452
1168,13,9,68,2458
1169,17,5,60,2585
1170,15,10,64,2484
1171,16,10,64,2494
1172,17,5,63,2564
1173,15,6,69,2545
1174,13,11,62,2466
1175,13,10,68,2591
1176,16,9,63,2413
1177,16,8,67,2518
1178,16,6,60,2541
1179,14,6,63,2569
1180,14,6,65,2590
1181,12,10,62,2488
1182,15,7,61,2431
1183,16,9,67,2560
1184,15,7,60,2512
1185,16,7,61,2598
1186,15,11,64,2436
1187,17,7,63,2553
1188,16,9,67,2467
1189,16,8,63,2474
1190,15,7,60,2490
1191,17,5,68,2598
1192,17,9,69,2539
1193,17,6,63,2423
1194,12,7,63,2422
1195,15,8,66,2507
1196,16,10,63,2488
1197,12,9,69,2422
1198,14,5,68,2560
1199,14,6,67,2575
1200,13,5,69,2412
1201,15,9,67,2540
1202,12,6,67,2587
1203,12,7,60,2492
1204,17,8,66,2422
1205,16,10,60,2508
1206,12,10,65,2551
1207,15,11,61,2442
1208,17,10,68,2423
1209,14,9,68,2419
1210,16,11,63,2479
1211,17,11,67,2598
1212,14,7,65,2589
1213,17,11,61,2442
1214,12,6,65,2451
1215,13,6,69,2535
1216,12,9,68,2431
1217,12,8,66,2466
1218,13,5,63,2597
1219,13,11,65,2576
1220,13,7,66,2540
1221,13,8,68,2412
1222,14,6,67,2414
1223,16,6,69,2544
1224,12,6,65,2470
1225,13,7,69,2458
1226,12,6,62,2528
1227,12,6,61,2490
1228,13,11,64,2479
1229,17,8,63,2555
1230,16,6,61,2423
1231,12,9,62,2404
1232,16,10,64,2439
1233,16,11,63,2544
1234,17,10,64,2419
1235,15,10,67,2500
1236,14,5,60,2521
1237,12,5,68,2568
1238,13,11,68,2406
1239,15,8,63,2562
1240,15,8,61,2558
1241,14,9,60,2527
1242,16,9,66,2405
